audience_id,audience_name,audience_type,type,category,parent,source,updated_at
"4572289","中東、アフリカへの旅","IN_MARKET","in_market","旅行","旅（目的地別）","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572409","北アメリカへの旅","IN_MARKET","in_market","旅行","旅（目的地別）","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572529","バリへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > インドネシアへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572649","バンコクへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > タイへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572769","北京への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 中国への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4572889","福岡への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 日本への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573009","香港への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573129","インドへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573249","京都、大阪、神戸への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 日本への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573369","マレーシアへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573489","メルボルンへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > オーストラリアへの旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573609","名古屋への旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅 > 日本への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573729","ニュージーランドへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
"4573849","フィリピンへの旅","IN_MARKET","in_market","旅行","旅（目的地別）> アジア太平洋地域への旅","https://support.google.com/richmedia/answer/17100174?hl=ja","2026-08-09"
